Price,Outbound Time,Outbound hours,Return Time,Return hours,Stops
66,06:15 – 07:20,3h 05m,08:00 – 12:45,2h 45m,direct
62,06:15 – 07:20,3h 05m,08:00 – 12:45,2h 45m,direct
67,23:55 – 00:45+1,2h 50m,08:00 – 12:45,2h 45m,direct
71,06:15 – 07:15,3h 00m,16:10 – 20:50,2h 40m,direct
73,12:00 – 12:55,2h 55m,08:00 – 12:45,2h 45m,direct
76,12:00 – 12:55,2h 55m,16:10 – 20:50,2h 40m,direct
82,23:55 – 00:45+1,2h 50m,15:55 – 20:30,2h 35m,direct
85,06:15 – 07:15,3h 00m,15:55 – 20:30,2h 35m,direct
133,17:15 – 18:10,2h 55m,08:00 – 12:45,2h 45m,direct
148,06:15 – 07:20,3h 05m,18:40 – 23:20,2h 40m,direct
151,17:15 – 18:10,2h 55m,16:10 – 20:50,2h 40m,direct
89,05:35 – 08:15,4h 40m,08:00 – 12:45,2h 45m,1 stop
155,23:55 – 00:45+1,2h 50m,18:40 – 23:20,2h 40m,direct
161,12:00 – 12:55,2h 55m,18:40 – 23:20,2h 40m,direct
82,06:15 – 07:15,3h 00m,10:20 – 21:55,9h 35m,direct
163,17:15 – 18:10,2h 55m,15:55 – 20:30,2h 35m,direct
169,17:15 – 18:10,2h 55m,18:40 – 23:20,2h 40m,direct
144,14:45 – 17:20,4h 35m,06:30 – 14:05,5h 35m,1 stop
144,19:15 – 22:00,4h 45m,06:30 – 14:05,5h 35m,1 stop
144,06:20 – 09:25,5h 05m,06:30 – 14:05,5h 35m,1 stop
89,09:10 – 16:35,9h 25m,08:00 – 12:45,2h 45m,1 stop
114,06:15 – 07:20,3h 05m,06:30 – 14:05,5h 35m,direct
109,21:40 – 00:15+1,4h 35m,08:00 – 12:45,2h 45m,1 stop
93,12:00 – 12:55,2h 55m,10:20 – 21:55,9h 35m,direct
114,17:45 – 21:20,5h 35m,08:00 – 12:45,2h 45m,1 stop
124,06:30 – 08:55,4h 25m,08:00 – 12:45,2h 45m,1 stop
89,13:40 – 21:35,9h 55m,08:00 – 12:45,2h 45m,1 stop
124,17:15 – 18:10,2h 55m,06:30 – 14:05,5h 35m,direct
130,23:55 – 00:45+1,2h 50m,06:30 – 14:05,5h 35m,direct
124,15:50 – 19:30,5h 40m,08:00 – 12:45,2h 45m,1 stop
140,06:15 – 07:20,3h 05m,06:50 – 13:20,4h 30m,direct
118,06:15 – 07:20,3h 05m,06:30 – 16:20,7h 50m,direct
124,17:15 – 18:10,2h 55m,06:30 – 16:20,7h 50m,direct
154,17:30 – 17:55,2h 25m,06:45 – 14:05,5h 20m,direct
156,14:45 – 17:20,4h 35m,08:00 – 12:45,2h 45m,1 stop
165,19:15 – 22:00,4h 45m,08:00 – 12:45,2h 45m,1 stop
128,11:00 – 17:20,8h 20m,08:00 – 12:45,2h 45m,1 stop
128,06:15 – 07:20,3h 05m,06:40 – 14:25,5h 45m,direct
165,06:20 – 09:25,5h 05m,08:00 – 12:45,2h 45m,1 stop
124,11:10 – 16:00,6h 50m,08:00 – 12:45,2h 45m,1 stop
142,19:30 – 22:10,4h 40m,06:50 – 13:20,4h 30m,1 stop
120,17:45 – 21:05,5h 20m,08:00 – 12:45,2h 45m,1 stop
114,07:00 – 12:55,7h 55m,08:00 – 12:45,2h 45m,1 stop
186,19:15 – 22:00,4h 45m,18:40 – 23:20,2h 40m,1 stop
119,11:00 – 17:20,8h 20m,06:30 – 14:05,5h 35m,1 stop
172,06:15 – 07:20,3h 05m,17:20 – 23:59,4h 39m,direct
168,15:00 – 17:20,4h 20m,06:45 – 14:05,5h 20m,1 stop
168,19:30 – 22:00,4h 30m,06:45 – 14:05,5h 20m,1 stop
142,14:45 – 17:20,4h 35m,06:30 – 16:20,7h 50m,1 stop
197,14:45 – 17:20,4h 35m,18:40 – 23:20,2h 40m,1 stop
107,21:40 – 00:15+1,4h 35m,16:10 – 20:50,2h 40m,1 stop
129,06:30 – 08:55,4h 25m,16:10 – 20:50,2h 40m,1 stop
86,23:55 – 00:45+1,2h 50m,10:20 – 21:55,9h 35m,direct
142,19:15 – 22:00,4h 45m,06:30 – 16:20,7h 50m,1 stop
159,19:30 – 22:10,4h 40m,08:00 – 12:45,2h 45m,1 stop
168,06:35 – 09:25,4h 50m,06:45 – 14:05,5h 20m,1 stop
161,11:00 – 17:20,8h 20m,18:40 – 23:20,2h 40m,1 stop
150,06:15 – 07:20,3h 05m,10:20 – 17:40,5h 20m,direct
122,17:45 – 21:20,5h 35m,16:10 – 20:50,2h 40m,1 stop
142,06:20 – 09:25,5h 05m,06:30 – 16:20,7h 50m,1 stop
197,06:20 – 09:25,5h 05m,18:40 – 23:20,2h 40m,1 stop
130,15:50 – 21:40,7h 50m,08:00 – 12:45,2h 45m,1 stop
128,06:15 – 07:20,3h 05m,13:55 – 23:40,7h 45m,direct
190,14:45 – 17:20,4h 35m,16:10 – 20:50,2h 40m,1 stop
125,15:15 – 21:35,8h 20m,06:50 – 13:20,4h 30m,1 stop
120,09:55 – 16:20,8h 25m,08:00 – 12:45,2h 45m,1 stop
86,13:40 – 21:35,9h 55m,16:10 – 20:50,2h 40m,1 stop
109,15:20 – 00:15+1,10h 55m,08:00 – 12:45,2h 45m,1 stop
120,21:40 – 00:15+1,4h 35m,15:55 – 20:30,2h 35m,1 stop
130,11:10 – 17:40,8h 30m,08:00 – 12:45,2h 45m,1 stop
142,06:30 – 08:55,4h 25m,15:55 – 20:30,2h 35m,1 stop
145,11:15 – 17:20,8h 05m,06:45 – 14:05,5h 20m,1 stop
118,11:00 – 17:20,8h 20m,06:30 – 16:20,7h 50m,1 stop
89,21:40 – 08:15+1,12h 35m,08:00 – 12:45,2h 45m,1 stop
162,13:30 – 17:05,5h 35m,08:00 – 12:45,2h 45m,1 stop
136,15:15 – 21:35,8h 20m,08:00 – 12:45,2h 45m,1 stop
173,10:10 – 15:10,7h 00m,08:00 – 12:45,2h 45m,1 stop
169,06:00 – 08:40,4h 40m,06:50 – 13:20,4h 30m,1 stop
143,05:35 – 08:15,4h 40m,06:30 – 14:05,5h 35m,1 stop
135,17:45 – 21:20,5h 35m,15:55 – 20:30,2h 35m,1 stop
166,13:30 – 17:05,5h 35m,16:10 – 20:50,2h 40m,1 stop
167,12:00 – 12:55,2h 55m,10:20 – 17:40,5h 20m,direct
170,06:00 – 08:40,4h 40m,06:50 – 13:20,4h 30m,1 stop
